"HOUSEHOLD DATA
ANNUAL AVERAGES
39.  Median weekly earnings of full-time wage and salary workers by detailed occupation and sex",,,,,,
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",35,–,29,–,6,–
"Other machine tool setters, operators, and tenders, metal and plastic",8,–,6,–,2,–
Machinists,297,923,272,940,25,–
"Metal furnace operators, tenders, pourers, and casters",19,–,19,–,0,–
"Model makers and patternmakers, metal and plastic",9,–,7,–,2,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",37,–,31,–,5,–
Tool and die makers,37,–,36,–,1,–
"Welding, soldering, and brazing workers",486,839,471,848,16,–
Other metal workers and plastic workers,338,770,277,816,61,622
Prepress technicians and workers,12,–,10,–,3,–
Printing press operators,120,748,95,757,25,–
Print binding and finishing workers,16,–,9,–,7,–
Laundry and dry-cleaning workers,94,538,34,–,60,522
"Pressers, textile, garment, and related materials",23,–,7,–,15,–
Sewing machine operators,97,579,37,–,59,584
Shoe and leather workers,6,–,2,–,3,–
"Tailors, dressmakers, and sewers",31,–,5,–,26,–
"Textile machine setters, operators, and tenders",15,–,5,–,10,–
Upholsterers,20,–,18,–,2,–
"Other textile, apparel, and furnishings workers",12,–,9,–,2,–
Cabinetmakers and bench carpenters,31,–,29,–,1,–
Furniture finishers,9,–,3,–,6,–
"Sawing machine setters, operators, and tenders, wood",20,–,16,–,3,–
"Woodworking machine setters, operators, and tenders, except sawing",9,–,9,–,1,–
Other woodworkers,12,–,12,–,0,–
"Power plant operators, distributors, and dispatchers",38,–,37,–,1,–
Stationary engineers and boiler operators,45,–,40,–,5,–
Water and wastewater treatment plant and system operators,116,955,104,990,12,–
Miscellaneous plant and system operators,42,–,38,–,4,–
"Chemical processing machine setters, operators, and tenders",50,"1,083",47,–,3,–
"Crushing, grinding, polishing, mixing, and blending workers",79,766,61,788,17,–
Cutting workers,54,692,40,–,14,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",22,–,15,–,7,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,–,10,–,0,–
"Inspectors, testers, sorters, samplers, and weighers",684,814,418,910,266,710
Jewelers and precious stone and metal workers,22,–,12,–,10,–
Dental and ophthalmic laboratory technicians and medical appliance technicians,59,694,23,–,36,–
Packaging and filling machine operators and tenders,224,620,126,667,98,544
Painting workers,139,849,124,879,15,–
Photographic process workers and processing machine operators,3,–,1,–,2,–
Adhesive bonding machine operators and tenders,8,–,6,–,2,–
Etchers and engravers,3,–,3,–,0,–
"Molders, shapers, and casters, except metal and plastic",19,–,17,–,2,–
"Paper goods machine setters, operators, and tenders",22,–,18,–,4,–
Tire builders,0,–,0,–,0,–
Helpers--production workers,31,–,23,–,9,–
Other production equipment operators and tenders,5,–,5,–,0,–
Other production workers,957,739,706,798,251,637
Transportation and material moving occupations,"7,917",719,"6,439",759,"1,478",600
Supervisors of transportation and material moving workers,222,919,175,943,47,–
Aircraft pilots and flight engineers,112,"1,923",109,"1,984",3,–
Air traffic controllers and airfield operations specialists,32,–,29,–,3,–
Flight attendants,54,895,13,–,41,–
"Ambulance drivers and attendants, except emergency medical technicians",8,–,7,–,1,–
"Bus drivers, school",105,647,52,708,53,622
"Bus drivers, transit and intercity",146,783,89,774,57,791
Driver/sales workers and truck drivers,"2,592",896,"2,409",916,183,666
Shuttle drivers and chauffeurs,57,606,47,–,10,–
Taxi drivers,157,734,132,743,25,–
"Motor vehicle operators, all other",84,616,70,642,15,–
Locomotive engineers and operators,50,"1,489",45,–,5,–
Railroad conductors and yardmasters,34,–,34,–,0,–
Other rail transportation workers,11,–,8,–,2,–
Sailors and marine oilers,16,–,16,–,0,–
Ship and boat captains and operators,30,–,28,–,2,–
Ship engineers,1,–,1,–,0,–
Parking attendants,44,–,36,–,7,–
Transportation service attendants,81,611,70,614,11,–
Transportation inspectors,26,–,21,–,6,–
Passenger attendants,14,–,4,–,11,–
Other transportation workers,24,–,16,–,7,–
Crane and tower operators,48,–,46,–,2,–
"Conveyor, dredge, and hoist and winch operators",23,–,22,–,1,–
Industrial truck and tractor operators,507,711,467,708,41,–
Cleaners of vehicles and equipment,214,580,179,581,35,–
"Laborers and freight, stock, and material movers, hand","1,587",650,"1,268",672,319,595
Machine feeders and offbearers,11,–,4,–,6,–
"Packers and packagers, hand",436,582,205,604,231,544
Stockers and order fillers,"1,058",593,714,602,345,576
Pumping station operators,17,–,17,–,0,–
Refuse and recyclable material collectors,70,680,64,698,6,–
Other material moving workers,46,–,41,–,5,–
,,,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Effective with January 2020 data, occupations reflect the introduction of the 2018 Census occupational classification system, derived from the 2018 Standard Occupational Classification (SOC). No historical data have been revised. Data for 2020 are not strictly comparable with earlier years. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,
